latitude,longitude,acq_date,brightness,district
26.7773,75.6885,2018-04-09,378.7,jaipur
27.9133,73.2345,2018-04-10,382.5,bikaner
25.0127,72.8926,2018-04-10,378.9,sirohi
25.3637,75.5717,2018-04-11,338.7,bundi
24.8917,74.8043,2018-04-11,372,chittorgarh
23.7794,74.6873,2018-04-11,340.8,pratapgarh
25.2332,75.884,2018-04-12,372.7,kota
24.0302,73.6423,2018-04-13,334.2,dungarpur
23.4228,74.153,2018-04-14,393.2,banswara
25.487,72.4902,2018-04-15,352.2,jalore
23.9159,74.902,2018-04-17,323.1,pratapgarh
25.2495,74.6478,2018-04-19,341.8,bhilwara
24.4698,76.1761,2018-04-19,341.8,jhalawar
24.8483,74.5759,2018-04-22,359.8,chittorgarh
24.256,76.1318,2018-04-22,398.5,jhalawar
24.0288,74.0567,2018-04-24,342.7,dungarpur
24.8427,75.961,2018-04-24,385.6,kota
27.3238,77.6874,2018-04-29,334.2,bharatpur
25.1481,73.5847,2018-05-04,351.6,rajsamand
25.0342,76.5983,2018-05-06,368.2,baran
24.0092,74.8256,2018-05-06,322.8,pratapgarh
27.1524,76.3011,2018-05-07,386.5,dausa
25.4151,74.2734,2018-05-13,311.9,rajsamand
26.0014,76.3654,2018-05-15,379.7,sawai-madhopur
25.0259,72.9974,2018-05-15,372.3,sirohi
24.924,76.4374,2018-05-18,301.7,baran
26.4839,77.0339,2018-05-19,370.5,karauli
24.6974,73.5719,2018-05-21,383.9,udaipur
27.7892,75.314,2018-05-22,378.1,sikar
24.2305,73.5486,2018-05-23,354.3,dungarpur
29.6113,74.4552,2018-05-24,373.7,hanumangarh
26.936,75.5929,2018-05-24,396.7,jaipur
27.8202,75.0606,2018-05-24,301.4,sikar
24.9746,74.058,2018-05-25,311.3,rajsamand
25.1367,73.6715,2018-05-25,324.5,rajsamand
25.164,74.6673,2018-05-27,330.1,bhilwara
24.3842,76.1956,2018-05-27,330.1,jhalawar
26.5234,77.1553,2018-05-29,394.1,karauli
24.8088,74.7974,2018-06-05,362.9,chittorgarh
27.0119,71.1188,2018-06-06,394.1,jaisalmer
24.8489,74.5444,2018-06-10,330.3,chittorgarh
23.8343,74.6853,2018-06-10,325.2,pratapgarh
24.9556,76.3103,2018-06-11,391.2,baran
26.0491,76.2748,2018-06-14,374.8,sawai-madhopur
23.8282,74.7416,2018-06-15,370.6,pratapgarh
25.684,75.8018,2018-06-20,352.4,bundi
25.5578,73.314,2018-06-23,308,pali
24.7193,73.8195,2018-06-27,330.7,udaipur
29.2631,74.2143,2018-06-28,336.8,hanumangarh
24.8605,73.0109,2018-07-05,384,sirohi
23.6871,74.72,2018-08-07,351.8,pratapgarh
25.0574,73.19,2018-08-09,323.1,sirohi
27.6126,75.1156,2018-08-27,327.3,sikar
25.2252,74.458,2018-08-28,358.7,bhilwara
24.4354,75.9764,2018-08-28,358.7,jhalawar
24.65,73.776,2018-08-28,380.5,udaipur
26.3031,74.7124,2018-09-13,360,ajmer
26.737,77.9275,2018-10-02,333.8,dholpur
28.3592,75.4507,2018-10-08,338.8,jhunjhunu
25.0561,76.6508,2018-10-24,398,baran
25.6233,71.3842,2018-10-30,331.7,barmer
26.289,74.5905,2018-11-02,324.6,ajmer
24.773,73.0047,2018-12-04,317.8,sirohi
25.1128,72.9235,2018-12-04,370.7,sirohi
26.088,76.3219,2018-12-27,377,sawai-madhopur
25.0743,73.0841,2018-12-29,376.4,sirohi
24.9214,73.1848,2019-01-13,325.9,sirohi
26.5232,74.7661,2019-01-14,359,ajmer
24.8987,76.4876,2019-01-20,357.3,baran
27.386,73.7316,2019-01-21,320.3,nagaur
24.6158,73.5652,2019-01-21,321.7,udaipur
26.3233,76.9447,2019-01-22,349.8,karauli
27.4734,76.4491,2019-02-02,324.4,alwar
25.1036,76.507,2019-02-03,316.2,baran
27.6422,76.8698,2019-02-09,332.6,alwar
26.7902,75.6248,2019-02-09,381.3,jaipur
23.6989,74.2791,2019-02-12,307.5,banswara
25.0505,76.4206,2019-02-13,384.1,baran
25.2915,74.7511,2019-02-13,369.8,bhilwara
23.9537,73.794,2019-02-13,384.6,dungarpur
24.5117,76.2794,2019-02-13,369.8,jhalawar
24.9495,73.1127,2019-02-13,392.6,sirohi
24.4322,76.209,2019-02-23,354.5,jhalawar
27.6793,76.529,2019-02-24,363.9,alwar
23.9802,74.7062,2019-03-01,344.3,pratapgarh
25.0915,73.6596,2019-03-02,364.1,rajsamand
26.2375,73.2148,2019-03-03,303.9,jodhpur
24.2255,76.2227,2019-03-04,369.3,jhalawar
24.9557,75.6474,2019-03-04,323.7,kota
24.8005,74.5855,2019-03-06,393.8,chittorgarh
23.9709,73.5915,2019-03-06,343.3,dungarpur
27.3383,77.3914,2019-03-08,317.2,bharatpur
26.5983,74.7103,2019-03-09,375.3,ajmer
27.274,75.8039,2019-03-11,366.7,jaipur
25.1578,76.3843,2019-03-13,389.6,baran
23.8633,73.445,2019-03-15,308.2,dungarpur
26.6797,77.2147,2019-03-15,352,karauli
26.3424,73.0703,2019-03-16,329.3,jodhpur
23.5798,74.4803,2019-03-17,352.2,banswara
26.8597,75.8532,2019-03-20,314.9,jaipur
26.8867,75.6395,2019-03-20,315.3,jaipur
23.3572,74.6422,2019-03-21,302.5,banswara
25.8681,76.1417,2019-03-21,383.8,sawai-madhopur
26.8538,77.8337,2019-03-22,319.9,dholpur
25.6344,73.2714,2019-03-25,345.5,pali
23.6987,74.6094,2019-03-27,393.4,pratapgarh
24.7168,73.4076,2019-03-27,382.1,udaipur
26.4244,77.0935,2019-03-29,349,karauli
23.6505,74.7053,2019-03-30,313.6,banswara
24.5158,76.0307,2019-03-30,303.7,jhalawar
25.6188,71.4672,2019-03-31,349.3,barmer
26.7615,77.8366,2019-03-31,383.7,dholpur
23.4,74.5585,2019-04-02,312.2,banswara
24.2169,73.9055,2019-04-02,350.1,dungarpur
26.1441,76.0781,2019-04-02,380.1,sawai-madhopur
26.6071,74.6737,2019-04-03,360.4,ajmer
26.5431,77.231,2019-04-03,397.5,karauli
29.6984,74.2954,2019-04-04,306.2,hanumangarh
26.5042,77.1947,2019-04-04,323.6,karauli
23.3981,74.5377,2019-04-05,397.7,banswara
23.7563,74.7303,2019-04-07,306.9,banswara
23.6929,73.6061,2019-04-07,388.3,dungarpur
25.186,72.4839,2019-04-09,320.1,jalore
24.9739,73.0755,2019-04-10,376.4,sirohi
27.7637,76.9532,2019-04-11,380.6,alwar
25.8468,71.1791,2019-04-11,378.2,barmer
26.4087,76.1755,2019-04-11,306.1,sawai-madhopur
24.7196,75.9087,2019-04-12,310.3,jhalawar
26.6242,74.6232,2019-04-13,371.7,ajmer
26.9543,70.8553,2019-04-13,332.1,jaisalmer
24.5915,73.6086,2019-04-13,380.6,udaipur
25.0868,76.4532,2019-04-14,360.2,baran
27.0731,70.9721,2019-04-14,329.5,jaisalmer
23.9052,73.5291,2019-04-15,374.7,dungarpur
23.8962,74.8323,2019-04-16,379.6,pratapgarh
24.8721,74.6357,2019-04-18,323.1,chittorgarh
29.5833,74.4879,2019-04-18,308.1,hanumangarh
25.0508,75.641,2019-04-18,376.9,kota
23.8206,74.8752,2019-04-18,313.9,pratapgarh
24.0607,73.5851,2019-04-19,394.4,dungarpur
26.523,76.899,2019-04-19,349.6,karauli
26.0587,76.4034,2019-04-19,323.2,sawai-madhopur
27.3876,77.4793,2019-04-20,339.2,bharatpur
24.6756,74.4715,2019-04-20,313.7,chittorgarh
26.68,75.9057,2019-04-20,388.4,jaipur
26.1661,76.0796,2019-04-21,382.6,tonk
25.8321,76.0709,2019-04-23,356.8,sawai-madhopur
23.8366,74.633,2019-04-24,395.4,pratapgarh
24.5778,73.3925,2019-04-24,314.3,udaipur
26.5561,77.8646,2019-04-26,358.4,dholpur
25.6877,73.0089,2019-04-26,397.3,pali
27.5006,76.9936,2019-04-27,395.4,alwar
23.9349,73.815,2019-04-27,354.1,dungarpur
24.4575,73.6499,2019-04-27,360.2,udaipur
26.8986,78.0223,2019-04-28,309.5,dholpur
25.1226,76.5223,2019-05-01,370.3,baran
24.242,73.7004,2019-05-03,346.6,dungarpur
24.4217,76.0996,2019-05-03,349.6,jhalawar
25.5501,75.6263,2019-05-04,352.4,bundi
25.1488,73.5264,2019-05-05,380.5,rajsamand
26.8855,76.5387,2019-05-08,316.9,dausa
24.0817,73.7658,2019-05-08,381.7,dungarpur
25.359,74.6924,2019-05-09,368.7,bhilwara
24.6485,76.1795,2019-05-09,368.7,jhalawar
25.1386,75.8079,2019-05-09,392.1,kota
26.8882,75.7115,2019-05-10,373.5,jaipur
27.0613,75.9013,2019-05-11,358.6,jaipur
25.4938,72.5018,2019-05-13,305.4,jalore
25.2899,73.8269,2019-05-13,346.5,rajsamand
23.9402,73.6581,2019-05-15,351.1,dungarpur
26.1132,76.3702,2019-05-16,387,sawai-madhopur
25.5352,74.5302,2019-05-17,329.9,bhilwara
24.7301,74.4878,2019-05-17,309.1,chittorgarh
24.8247,76.0174,2019-05-17,329.9,jhalawar
25.8465,76.1773,2019-05-17,387.4,sawai-madhopur
23.9268,73.7221,2019-05-18,337.6,dungarpur
23.4355,74.1839,2019-05-21,380.9,banswara
26.637,77.9654,2019-05-22,351.7,dholpur
26.481,77.1069,2019-05-22,390.5,karauli
27.314,76.9965,2019-05-27,324.8,alwar
26.007,76.1476,2019-05-27,382.8,sawai-madhopur
24.0869,74.7755,2019-05-28,390,pratapgarh
25.3611,75.7229,2019-05-30,350.6,bundi
24.5601,72.8593,2019-05-30,346.1,sirohi
23.9968,73.8287,2019-05-31,315.4,dungarpur
26.6587,76.6186,2019-06-04,355,karauli
24.0609,74.5365,2019-06-08,307.7,pratapgarh
25.4207,74.6193,2019-06-09,307.4,bhilwara
24.641,76.1476,2019-06-09,307.4,jhalawar
24.6982,73.6778,2019-06-11,346.9,udaipur
25.1295,75.7825,2019-06-14,332.1,kota
26.7618,78.0399,2019-06-17,302.9,dholpur
27.7019,76.4357,2019-06-24,371.1,alwar
25.1288,73.7818,2019-06-26,322.4,rajsamand
26.8459,75.8515,2019-06-27,390.4,jaipur
24.7812,74.4741,2019-07-02,346.1,chittorgarh
24.4887,76.1993,2019-08-19,386.7,jhalawar
24.7256,72.7383,2019-09-01,332.7,sirohi
24.7696,72.7256,2019-10-12,364.4,sirohi
26.5855,77.0052,2019-10-26,384,karauli
24.8012,74.538,2019-11-02,396.1,chittorgarh
27.3416,77.7239,2019-11-10,341.2,bharatpur
23.9354,73.3581,2019-11-10,395.2,dungarpur
29.7655,73.8816,2019-11-13,359.6,sri-ganganagar
24.8544,74.5721,2019-11-24,330.2,chittorgarh
23.8375,73.5196,2019-11-24,353.6,dungarpur
25.5679,74.5767,2020-01-02,381.4,bhilwara
24.8575,76.0639,2020-01-02,381.4,jhalawar
25.0006,72.8812,2020-01-09,339.1,sirohi
23.7788,74.7062,2020-01-13,320.9,pratapgarh
25.1744,74.5839,2020-01-17,323.1,bhilwara
24.3846,76.1023,2020-01-17,323.1,jhalawar
25.3961,75.6331,2020-01-24,328.7,bundi
28.1357,74.8064,2020-01-25,384.5,churu
25.1156,75.5636,2020-02-04,305.6,kota
25.3359,76.0975,2020-02-04,367.5,kota
25.2286,72.9281,2020-02-05,330.5,sirohi
25.3543,74.108,2020-02-09,315.8,rajsamand
25.9544,76.1003,2020-02-10,312.3,sawai-madhopur
23.5888,74.5136,2020-02-19,316.1,banswara
24.9159,74.6216,2020-02-22,391.8,chittorgarh
24.676,72.7123,2020-02-27,312.3,sirohi
25.0286,73.5961,2020-03-02,362.5,rajsamand
26.1282,76.1805,2020-03-04,342,sawai-madhopur
24.0935,73.7998,2020-03-06,362.6,dungarpur
27.4913,76.8382,2020-03-07,339.3,alwar
27.4833,76.9683,2020-03-07,328,alwar
24.8304,73.4493,2020-03-07,300.1,udaipur
23.6277,74.4322,2020-03-08,336.9,banswara
26.5996,74.5984,2020-03-09,311.3,ajmer
25.4831,75.7864,2020-03-16,345.6,bundi
24.2839,76.0681,2020-03-17,331.6,jhalawar
24.7087,76.4375,2020-03-19,387,baran
23.9892,74.6032,2020-03-19,322,pratapgarh
26.8366,70.957,2020-03-20,388.3,jaisalmer
23.4571,74.6664,2020-03-21,305,banswara
25.1807,76.5828,2020-03-21,361.3,baran
25.1885,74.5039,2020-03-21,389.3,bhilwara
24.4088,76.0322,2020-03-21,389.3,jhalawar
24.8961,73.9865,2020-03-21,333.7,rajsamand
24.5565,73.8829,2020-03-21,300.4,udaipur
26.8164,75.7567,2020-03-22,329,jaipur
23.869,73.809,2020-03-25,350.3,dungarpur
26.4409,77.1372,2020-03-25,327.1,karauli
24.9038,73.9487,2020-03-25,340.2,rajsamand
24.1669,73.802,2020-03-25,354.4,udaipur
25.024,72.8966,2020-03-27,357.2,sirohi
29.4662,74.4256,2020-03-29,304,hanumangarh
26.6672,77.6585,2020-03-30,323.2,dholpur
26.0237,76.2466,2020-03-31,347.8,sawai-madhopur
25.052,76.5773,2020-04-05,312.6,baran
25.3459,75.629,2020-04-08,351.4,bundi
25.1612,73.684,2020-04-08,301.8,rajsamand
28.0761,73.2809,2020-04-12,315.2,bikaner
25.9474,71.3186,2020-04-13,333.2,barmer
24.9652,72.8281,2020-04-14,368.6,sirohi
24.9238,75.5722,2020-04-15,325.6,kota
30.0605,73.7136,2020-04-15,361.9,sri-ganganagar
25.3997,72.5647,2020-04-16,378.2,jalore
24.9298,74.7399,2020-04-17,319,chittorgarh
25.3961,73.4659,2020-04-22,379.3,rajsamand
25.1327,74.2098,2020-04-22,369.6,rajsamand
23.5018,74.5909,2020-04-23,387.8,banswara
25.1021,72.7501,2020-04-23,378.5,sirohi
24.0495,73.6369,2020-04-24,388.4,dungarpur
28.1882,74.8015,2020-04-25,308.1,churu
25.9015,76.3492,2020-04-25,325.5,sawai-madhopur
27.8592,76.7835,2020-04-26,312.6,alwar
26.8689,78.065,2020-04-26,314.5,dholpur
25.748,73.4807,2020-04-26,347.1,pali
25.9711,75.7518,2020-04-26,363.8,tonk
24.6574,74.511,2020-04-28,362.8,chittorgarh
25.1488,73.8238,2020-04-30,379.1,rajsamand
25.1453,74.001,2020-05-02,398.6,rajsamand
25.103,74.1171,2020-05-02,355,rajsamand
25.9223,76.26,2020-05-02,375.7,sawai-madhopur
24.7826,72.7915,2020-05-02,356.2,sirohi
24.6446,74.3985,2020-05-04,332.9,chittorgarh
27.0991,73.7279,2020-05-05,332.3,nagaur
25.6089,73.2527,2020-05-05,308.8,pali
24.1163,75.1119,2020-05-05,361.2,pratapgarh
25.0417,74.226,2020-05-05,316.6,rajsamand
29.7129,74.1565,2020-05-07,364.2,hanumangarh
25.0497,73.065,2020-05-07,319.3,sirohi
27.3137,76.712,2020-05-10,374.7,alwar
25.0806,76.5046,2020-05-10,325.3,baran
24.3247,76.0614,2020-05-13,342.9,jhalawar
25.8787,76.3855,2020-05-14,337.8,sawai-madhopur
26.8981,75.7578,2020-05-16,393.3,jaipur
26.6246,74.4115,2020-05-17,386.7,ajmer
24.7679,72.9743,2020-05-17,363.8,sirohi
23.9216,73.7192,2020-05-19,309.7,dungarpur
24.8005,74.5313,2020-05-20,353.4,chittorgarh
26.0165,76.1258,2020-05-21,334.9,sawai-madhopur
27.1902,75.5636,2020-05-22,310.9,jaipur
24.0254,73.6968,2020-05-23,320.7,dungarpur
26.5042,76.9968,2020-05-23,389.8,karauli
24.9262,75.8228,2020-05-23,374.7,kota
25.7548,71.3452,2020-05-24,345.5,barmer
25.0542,76.7211,2020-05-27,336.1,baran
23.9399,74.556,2020-05-27,371.7,pratapgarh
24.9694,76.539,2020-05-29,319,baran
25.137,73.7655,2020-05-29,310.7,rajsamand
23.6709,74.4138,2020-05-30,306.1,banswara
24.6908,73.6034,2020-05-31,397.6,udaipur
27.3159,77.4135,2020-06-01,364,bharatpur
25.7071,75.4093,2020-06-01,364.8,bundi
26.4098,74.7148,2020-06-02,348.1,ajmer
26.6579,74.6184,2020-06-02,350.1,ajmer
23.7815,74.8848,2020-06-02,369,pratapgarh
24.0251,73.8085,2020-06-09,342.2,dungarpur
25.0702,76.57,2020-06-10,339.2,baran
26.1278,76.0735,2020-06-15,331.7,sawai-madhopur
24.8964,72.7029,2020-06-16,315.7,sirohi
24.8702,72.8597,2020-06-18,378.2,sirohi
24.3313,73.6213,2020-06-20,323.8,udaipur
26.586,74.5935,2020-06-21,345.2,ajmer
24.3979,76.1217,2020-06-21,368.6,jhalawar
24.3893,73.7449,2020-06-22,308,udaipur
25.1469,74.7327,2020-06-25,337.6,bhilwara
23.7254,73.5269,2020-06-25,329.6,dungarpur
24.3672,76.2611,2020-06-25,337.6,jhalawar
28.0927,75.4922,2020-06-26,347.4,jhunjhunu
26.3636,74.6383,2020-06-28,368.1,ajmer
26.3876,77.0526,2020-07-06,346.5,karauli
24.7732,74.7937,2020-08-11,357.5,chittorgarh
23.8947,74.8613,2020-09-02,362,pratapgarh
26.3496,74.6802,2020-09-21,338.7,ajmer
25.7308,75.3955,2020-10-07,307.4,bundi
28.2554,75.0919,2020-10-28,336.1,churu
23.5223,74.4576,2020-11-09,368.4,banswara
25.0855,73.4194,2020-12-01,309.4,rajsamand
24.2237,73.5312,2021-01-25,312.3,udaipur
24.027,74.543,2021-01-26,338.4,pratapgarh
29.5259,74.5675,2021-01-30,309.7,hanumangarh
25.1482,75.794,2021-02-03,318.5,kota
24.0792,74.7875,2021-02-03,339.4,pratapgarh
24.947,76.2036,2021-02-07,369.2,baran
24.8841,75.6661,2021-02-11,388,kota
26.889,75.9184,2021-02-14,352.9,jaipur
27.0106,76.0051,2021-02-15,312.1,jaipur
24.8106,74.6105,2021-02-17,369.7,chittorgarh
25.0328,72.9496,2021-02-20,373.4,sirohi
25.392,74.576,2021-02-22,354.1,bhilwara
24.6816,76.0632,2021-02-22,354.1,jhalawar
25.9274,76.1464,2021-02-22,300.6,sawai-madhopur
23.4818,74.5895,2021-02-24,376,banswara
23.9351,73.8546,2021-02-27,330.7,dungarpur
25.9945,76.0925,2021-03-03,335.8,sawai-madhopur
25.0584,73.6281,2021-03-04,311.3,rajsamand
23.7967,73.3763,2021-03-06,388.9,dungarpur
23.9378,73.7097,2021-03-07,332.9,dungarpur
24.4571,76.2042,2021-03-08,353.2,jhalawar
27.7029,75.2812,2021-03-08,356.9,sikar
24.9621,76.571,2021-03-11,353.3,baran
25.0787,73.1284,2021-03-11,367.8,sirohi
24.893,72.9045,2021-03-13,319.3,sirohi
26.6958,77.2959,2021-03-15,340.4,karauli
26.61,77.1533,2021-03-19,394.1,karauli
24.2479,74.8552,2021-03-20,321.8,pratapgarh
25.9828,76.0071,2021-03-21,312.8,sawai-madhopur
26.3474,77.1145,2021-03-22,362.5,karauli
24.7524,74.5509,2021-03-24,366.6,chittorgarh
25.4028,75.8968,2021-03-25,343.1,bundi
24.6737,72.7704,2021-03-25,324.6,sirohi
25.596,71.3283,2021-03-26,383.9,barmer
23.6455,74.3589,2021-03-27,313,banswara
23.9852,73.8133,2021-03-30,341.8,dungarpur
24.8876,73.7668,2021-03-30,363.4,udaipur
25.5218,74.2884,2021-03-31,356.7,bhilwara
24.8114,75.7756,2021-03-31,356.7,jhalawar
24.8689,76.0505,2021-04-01,357.9,jhalawar
24.3621,76.224,2021-04-02,338.7,jhalawar
24.0415,74.5953,2021-04-02,396.4,pratapgarh
24.9982,73.5602,2021-04-02,329.4,rajsamand
26.0729,76.1036,2021-04-02,367.3,sawai-madhopur
24.8121,74.5189,2021-04-03,384,chittorgarh
24.7146,76.0831,2021-04-03,307.2,jhalawar
24.9931,73.7694,2021-04-05,342.6,udaipur
24.8465,73.6203,2021-04-05,308.4,udaipur
24.9897,72.605,2021-04-07,380.6,sirohi
25.3539,73.5893,2021-04-08,340.7,rajsamand
24.7083,73.5064,2021-04-08,398.3,udaipur
25.0983,72.9428,2021-04-13,364.5,sirohi
27.7118,76.5726,2021-04-15,341.2,alwar
24.7246,76.0471,2021-04-15,378,jhalawar
24.2377,76.1945,2021-04-15,383.9,jhalawar
24.8288,72.6987,2021-04-16,368.4,sirohi
27.4688,75.0899,2021-04-17,350.7,sikar
25.0319,73.1566,2021-04-17,351.6,sirohi
25.5413,72.6391,2021-04-18,300.7,jalore
25.9838,76.1694,2021-04-19,378.9,sawai-madhopur
24.8078,73.6623,2021-04-19,337.2,udaipur
24.6807,74.0419,2021-04-20,356.2,rajsamand
26.3968,74.7824,2021-04-21,307.1,ajmer
24.1941,73.5937,2021-04-23,314.2,dungarpur
26.6138,77.0719,2021-04-23,369.8,karauli
30.1407,74.0297,2021-04-23,312.8,sri-ganganagar
27.1688,77.3957,2021-04-24,350.8,bharatpur
25.2812,75.8268,2021-04-24,336.9,bundi
25.0899,73.6699,2021-04-24,369.5,rajsamand
25.0931,73.3644,2021-04-25,398.5,rajsamand
25.0116,74.616,2021-04-27,345.6,chittorgarh
27.2203,77.5218,2021-04-28,394.2,bharatpur
23.6335,73.3173,2021-04-28,378.2,dungarpur
23.7551,73.5425,2021-04-28,351,dungarpur
25.8302,71.1621,2021-04-29,318.1,barmer
27.0905,77.4992,2021-04-29,326.6,bharatpur
24.0339,73.6896,2021-05-03,374.3,dungarpur
24.8866,76.4331,2021-05-06,332,baran
24.8624,74.4362,2021-05-06,338.6,chittorgarh
24.0168,74.6786,2021-05-06,370.4,pratapgarh
25.0628,73.0713,2021-05-06,399.1,sirohi
26.8637,77.7794,2021-05-07,363.3,dholpur
25.0211,73.6969,2021-05-07,337,rajsamand
25.9062,71.3081,2021-05-08,314.9,barmer
24.9357,76.6861,2021-05-10,333.3,baran
25.2448,76.4402,2021-05-11,341.3,baran
24.8215,74.5644,2021-05-13,369,chittorgarh
25.1184,73.6404,2021-05-13,391.3,rajsamand
26.7345,74.6104,2021-05-17,334.2,ajmer
27.6384,76.4907,2021-05-17,357.4,alwar
23.7956,73.8424,2021-05-19,303.3,dungarpur
26.4095,74.6982,2021-05-21,335.9,ajmer
25.1747,76.5273,2021-05-25,343.4,baran
24.3242,73.7203,2021-05-25,397.9,udaipur
29.5123,74.4329,2021-05-26,382.5,hanumangarh
25.4902,73.4251,2021-05-26,300.9,pali
26.3229,72.7243,2021-05-27,389.9,jodhpur
24.8431,74.6011,2021-05-29,341,chittorgarh
23.9734,74.8707,2021-05-31,387.6,pratapgarh
23.4753,74.5385,2021-06-03,333.8,banswara
25.9524,76.0268,2021-06-03,316.5,sawai-madhopur
26.2887,75.7487,2021-06-08,392.8,tonk
28.2103,74.9163,2021-06-10,387.7,churu
27.4727,76.8187,2021-06-25,356.7,alwar
24.8425,75.9297,2021-06-30,371,kota
27.319,77.0117,2021-07-05,391.5,alwar
25.4249,72.662,2021-07-12,389.6,jalore
25.3901,75.8929,2021-09-01,314.8,bundi
25.8161,73.4248,2021-09-29,328.3,pali
24.7207,73.9136,2021-10-04,355.7,udaipur
25.117,76.4548,2021-10-17,312.2,baran
24.9854,76.5659,2021-11-08,307.7,baran
26.1027,76.111,2021-11-20,347.3,sawai-madhopur
26.199,76.1209,2021-11-30,352.7,sawai-madhopur
28.0048,73.3847,2021-12-07,384.2,bikaner
25.6051,73.3501,2022-01-04,344.9,pali
25.0903,72.6847,2022-01-09,316.4,sirohi
27.7237,75.2789,2022-01-11,371.4,sikar
25.2229,74.6205,2022-01-12,300.9,bhilwara
24.4331,76.1389,2022-01-12,300.9,jhalawar
25.4745,75.8044,2022-01-15,357.1,bundi
26.4152,77.107,2022-01-16,394.6,karauli
29.8724,73.7663,2022-01-20,381.6,sri-ganganagar
28.1672,75.5151,2022-01-23,348.7,jhunjhunu
24.5329,76.2195,2022-02-01,388.2,jhalawar
23.9169,74.7351,2022-02-03,359.6,pratapgarh
23.9192,73.87,2022-02-04,388.1,dungarpur
25.5793,73.3804,2022-02-04,345.7,pali
25.6395,75.447,2022-02-05,317.4,bundi
26.0052,76.318,2022-02-09,318.5,sawai-madhopur
28.5349,74.8766,2022-02-10,306.1,churu
25.0512,75.9329,2022-02-12,359.7,kota
28.0879,74.8155,2022-02-14,322,churu
23.605,74.7468,2022-02-15,337.6,banswara
23.9179,73.7956,2022-02-20,397.3,dungarpur
23.8937,74.9652,2022-02-20,365.4,pratapgarh
25.1645,75.7258,2022-02-25,301.6,kota
26.7274,76.045,2022-02-28,365.3,jaipur
26.365,74.7183,2022-03-01,383,ajmer
24.7673,75.7336,2022-03-01,303.8,kota
24.0353,74.7339,2022-03-04,335,pratapgarh
25.0004,76.5958,2022-03-06,330.1,baran
25.0686,73.6604,2022-03-06,348.9,rajsamand
25.3426,73.7797,2022-03-09,343.9,rajsamand
23.3286,74.2196,2022-03-13,322,banswara
27.5596,76.8476,2022-03-14,301.2,alwar
27.9239,73.395,2022-03-15,385.6,bikaner
24.043,74.7074,2022-03-15,343,pratapgarh
25.0201,76.5951,2022-03-16,371.8,baran
24.2938,76.1986,2022-03-18,387.8,jhalawar
24.5895,73.5772,2022-03-18,374.4,udaipur
26.3002,73.0839,2022-03-19,312.1,jodhpur
25.2627,74.7806,2022-03-20,358.4,bhilwara
